profile,query,mode,n_recommendations,name_overlap,category_overlap,novelty,category_diversity,category_entropy,filter_bubble_index,profile_alignment,recommended_restaurants,primary_categories
italian_pasta,I want something good for dinner in NYC.,profile_proxy,5,1.0,1.0,0.0,0.2,0.0,0.96,1.0,Olio e Piu; Bleecker Street Pizza; Tony's Di Napoli - Midtown; The Marshal; Trattoria Trecolori,Italian; Italian; Italian; Italian; Italian
italian_pasta,I want something good for dinner in NYC.,profile_proxy_diversity_constraint,5,0.0,0.5,1.0,0.4,0.7219,0.27,1.0,Stage Door Deli; Capizzi; La Masseria; Don Antonio; Da Marino Restaurant,Pizza; Italian; Italian; Italian; Italian
italian_pasta,Find a casual but memorable place for tonight.,profile_proxy,5,1.0,1.0,0.0,0.2,0.0,0.96,1.0,Olio e Piu; Bleecker Street Pizza; Tony's Di Napoli - Midtown; The Marshal; Trattoria Trecolori,Italian; Italian; Italian; Italian; Italian
italian_pasta,Find a casual but memorable place for tonight.,profile_proxy_diversity_constraint,5,0.0,0.5,1.0,0.4,0.7219,0.27,1.0,Stage Door Deli; Capizzi; La Masseria; Don Antonio; Da Marino Restaurant,Pizza; Italian; Italian; Italian; Italian
italian_pasta,Recommend something flavorful but not too expensive.,profile_proxy,5,0.0,1.0,1.0,0.2,0.0,0.46,1.0,Babbo Ristorante e Enoteca; Da Gennaro Restaurant; Ribalta Pizza; Lattanzi Ristorante; Il Gattopardo,Italian; Italian; Italian; Italian; Italian
italian_pasta,Recommend something flavorful but not too expensive.,profile_proxy_diversity_constraint,5,0.0,0.5,1.0,0.4,0.7219,0.27,1.0,Kiss My Slice; Babbo Ristorante e Enoteca; Da Gennaro Restaurant; Ribalta Pizza; Lattanzi Ristorante,Pizza; Italian; Italian; Italian; Italian
japanese_date_night,I want something good for dinner in NYC.,profile_proxy,5,1.0,1.0,0.0,0.4,0.7219,0.92,1.0,Blue Fin; TAO Downtown Restaurant; Natsumi; Zuma; The Breslin,Sushi; Japanese; Japanese; Japanese; Japanese
japanese_date_night,I want something good for dinner in NYC.,profile_proxy_diversity_constraint,5,0.0,1.0,1.0,0.4,0.7219,0.42,1.0,Sushi Yasuda; TAO Uptown; Serafina Restaurant; Jacob's Pickles; Hatsuhana Sushi Restaurant,Japanese; Sushi; Japanese; Japanese; Japanese
japanese_date_night,Find a casual but memorable place for tonight.,profile_proxy,5,1.0,1.0,0.0,0.4,0.7219,0.92,1.0,Blue Fin; TAO Downtown Restaurant; Natsumi; Zuma; The Breslin,Sushi; Japanese; Japanese; Japanese; Japanese
japanese_date_night,Find a casual but memorable place for tonight.,profile_proxy_diversity_constraint,5,0.0,1.0,1.0,0.4,0.7219,0.42,1.0,Sushi Yasuda; TAO Uptown; Serafina Restaurant; Jacob's Pickles; Hatsuhana Sushi Restaurant,Japanese; Sushi; Japanese; Japanese; Japanese
japanese_date_night,Recommend something flavorful but not too expensive.,profile_proxy,5,0.4,1.0,0.6,0.4,0.7219,0.62,1.0,Blue Fin; TAO Downtown Restaurant; Hatsuhana Sushi Restaurant; Bread & Butter; Sushi Seki,Sushi; Japanese; Japanese; Japanese; Japanese
japanese_date_night,Recommend something flavorful but not too expensive.,profile_proxy_diversity_constraint,5,0.0,1.0,1.0,0.4,0.7219,0.42,1.0,Hatsuhana Sushi Restaurant; TAO Uptown; Bread & Butter; Sushi Seki; Whole Foods Market,Japanese; Sushi; Japanese; Japanese; Japanese
exploratory_low_bubble,I want something good for dinner in NYC.,profile_proxy,5,1.0,1.0,0.0,0.6,0.865,0.88,1.0,Rosa Mexicano; Danji; Sakagura; Cafe Habana; El Vez and Burrito Bar,Mexican; Asian; Japanese; Mexican; Mexican
exploratory_low_bubble,I want something good for dinner in NYC.,profile_proxy_diversity_constraint,5,0.0,0.4,1.0,1.0,1.0,0.12,1.0,Kenka; Allora Fifth Ave; Calexico - Upper East Side; Mad Dog & Beans Mexican Cantina; KOBA Korean Bbq,Mediterranean; Italian; Bar; Mexican; Asian
exploratory_low_bubble,Find a casual but memorable place for tonight.,profile_proxy,5,1.0,1.0,0.0,0.6,0.865,0.88,1.0,Rosa Mexicano; Danji; Sakagura; Cafe Habana; El Vez and Burrito Bar,Mexican; Asian; Japanese; Mexican; Mexican
exploratory_low_bubble,Find a casual but memorable place for tonight.,profile_proxy_diversity_constraint,5,0.0,0.4,1.0,1.0,1.0,0.12,1.0,Kenka; Allora Fifth Ave; Calexico - Upper East Side; Mad Dog & Beans Mexican Cantina; KOBA Korean Bbq,Mediterranean; Italian; Bar; Mexican; Asian
exploratory_low_bubble,Recommend something flavorful but not too expensive.,profile_proxy,5,1.0,1.0,0.0,0.6,0.865,0.88,1.0,Rosa Mexicano; Danji; Sakagura; Cafe Habana; El Vez and Burrito Bar,Mexican; Asian; Japanese; Mexican; Mexican
exploratory_low_bubble,Recommend something flavorful but not too expensive.,profile_proxy_diversity_constraint,5,0.0,0.4,1.0,1.0,1.0,0.12,1.0,Kenka; Allora Fifth Ave; Calexico - Upper East Side; Mad Dog & Beans Mexican Cantina; KOBA Korean Bbq,Mediterranean; Italian; Bar; Mexican; Asian
